year;female_pop;male_pop;total_pop
1960;1.515944751;1.516848396;3.034193297
1961;1.536286063;1.537401749;3.075115342
1962;1.562356059;1.564141282;3.127961482
1963;1.594250415;1.59704296;3.192794384
1964;1.626456652;1.630206837;3.258201476
1965;1.65936147;1.664014656;3.324951621
1966;1.693813044;1.699438951;3.39486453
1967;1.72814519;1.734643428;3.464439525
1968;1.762881796;1.770250853;3.534821115
1969;1.79969169;1.807965981;3.609383725
1970;1.836851372;1.846150789;3.68476587
1971;1.874997119;1.885401938;3.762198347
1972;1.912792137;1.92429463;3.838924951
1973;1.950170652;1.962811256;3.914857611
1974;1.987879225;2.001637755;3.991430917
1975;2.024742048;2.039575225;4.066267984
1976;2.060640517;2.076521536;4.139151082
1977;2.096428576;2.11332723;4.211781677
1978;2.132822876;2.15072353;4.285609387
1979;2.170159712;2.1890334;4.361295248
1980;2.207887648;2.227661066;4.437690434
1981;2.246481399;2.26710048;4.515764583
1982;2.286549713;2.308039917;4.596813158
1983;2.326949789;2.349307762;4.678525765
1984;2.367214878;2.390452615;4.75998236
1985;2.408236032;2.432466946;4.843067309
1986;2.450516865;2.475890777;4.928822143
1987;2.493839666;2.520492342;5.016798785
1988;2.537590887;2.565589673;5.105701987
1989;2.581415231;2.610742647;5.19473138
1990;2.625802682;2.656459874;5.284886348
1991;2.668742728;2.700662437;5.372078249
1992;2.710285909;2.743136117;5.456141249
1993;2.752149078;2.786162206;5.541075501
1994;2.793459918;2.828572563;5.624840414
1995;2.835282455;2.871623813;5.709757338
1996;2.876255338;2.913421619;5.792568347
1997;2.917306448;2.95516366;5.875398158
1998;2.95792225;2.996466611;5.95723746
1999;2.998010937;3.03740312;6.038067278
2000;3.037461287;3.078014236;6.118075293
2001;3.076485259;3.118541692;6.197638117
2002;3.115174103;3.15902706;6.276824418
2003;3.153900757;3.199723842;6.356259574
2004;3.192941599;3.240758866;6.436346998
2005;3.232312478;3.28205093;6.517020798
2006;3.272102571;3.323639208;6.598421257
2007;3.312252797;3.365469684;6.680423047
2008;3.353109907;3.40791488;6.763745673
2009;3.394071908;3.450403854;6.847214549
2010;3.435031556;3.492871137;6.930656699
2011;3.47536614;3.534706337;7.012843635
2012;3.516939678;3.577669741;7.097400665
2013;3.558998195;3.621045177;7.182860115
2014;3.601421986;3.664743458;7.268986176
2015;3.643934507;3.708479158;7.355220412
2016;3.686784411;3.752523558;7.442135578
2017;3.727247;3.794118;7.523997
2018;3.76734;3.83522;7.605207
2019;3.807103;3.875807;7.685566
2020;3.84653;3.915845;7.765056
2021;3.885661;3.955349;7.843706
2022;3.924478;3.994303;7.921502
2023;3.962962;4.032736;7.99843
2024;4.001064;4.070647;8.074461
2025;4.03874;4.108035;8.149552
2026;4.07599;4.144896;8.22367
2027;4.112785;4.181217;8.296806
2028;4.149122;4.217021;8.368976
2029;4.185054;4.252298;8.440198
2030;4.220552;4.287081;8.510487
2031;4.255639;4.321378;8.579882
2032;4.290293;4.35518;8.648375
2033;4.324535;4.388512;8.715945
2034;4.358331;4.421363;8.782613
2035;4.391688;4.453766;8.84839
2036;4.424637;4.485733;8.91332
2037;4.457187;4.517294;8.977423
2038;4.489303;4.548409;9.040699
2039;4.52102;4.579147;9.103136
2040;4.552325;4.609459;9.164779
2041;4.58319;4.639364;9.225557
2042;4.613598;4.668841;9.285442
2043;4.643495;4.697809;9.344325
2044;4.67286;4.726279;9.402168
2045;4.701661;4.754238;9.458938
2046;4.729868;4.781656;9.514563
2047;4.757494;4.808539;9.569076
2048;4.784556;4.834875;9.62246
2049;4.811007;4.860661;9.674711
2050;4.836643;4.88565;9.725357
